Season;Game #;Unique ID;Date;Team;Opponent;Team G;Opp G;Win Loss;Points;Referee;Team S;Opp S;Team SOT;Opp SOT;Team Fouls;Opp Fouls;Team Corner;Opp Corner;Team Yellows;Opp Yellow;Team Red;Opp Red
1993-94;1;Angers1;7/24/1993;Angers;Sochaux;1;4;Loss;0;NA;;;;;;;;;;;;
1993-94;2;Angers2;7/31/1993;Angers;Metz;0;2;Loss;0;NA;;;;;;;;;;;;
1993-94;3;Angers3;8/7/1993;Angers;Lyon;3;1;Win;3;NA;;;;;;;;;;;;
1993-94;4;Angers4;8/11/1993;Angers;Auxerre;0;0;Draw;1;NA;;;;;;;;;;;;
1993-94;5;Angers5;8/14/1993;Angers;Martigues;1;3;Loss;0;NA;;;;;;;;;;;;
1993-94;6;Angers6;8/28/1993;Angers;Lens;1;0;Win;3;NA;;;;;;;;;;;;
1993-94;7;Angers7;9/1/1993;Angers;Paris SG;1;1;Draw;1;NA;;;;;;;;;;;;
1993-94;8;Angers8;9/11/1993;Angers;Cannes;3;4;Loss;0;NA;;;;;;;;;;;;
1993-94;9;Angers9;9/19/1993;Angers;Nantes;0;0;Draw;1;NA;;;;;;;;;;;;
1993-94;10;Angers10;9/24/1993;Angers;Monaco;0;3;Loss;0;NA;;;;;;;;;;;;
1993-94;11;Angers11;10/2/1993;Angers;Le Havre;0;0;Draw;1;NA;;;;;;;;;;;;
1993-94;12;Angers12;10/6/1993;Angers;Toulouse;1;2;Loss;0;NA;;;;;;;;;;;;
1993-94;13;Angers13;10/16/1993;Angers;St Etienne;1;1;Draw;1;NA;;;;;;;;;;;;
1993-94;14;Angers14;10/23/1993;Angers;Bordeaux;0;1;Loss;0;NA;;;;;;;;;;;;
1993-94;15;Angers15;10/29/1993;Angers;Marseille;0;1;Loss;0;NA;;;;;;;;;;;;
1993-94;16;Angers16;11/6/1993;Angers;Lille;1;1;Draw;1;NA;;;;;;;;;;;;
1993-94;17;Angers17;11/10/1993;Angers;Strasbourg;1;3;Loss;0;NA;;;;;;;;;;;;
1993-94;18;Angers18;11/21/1993;Angers;Montpellier;1;2;Loss;0;NA;;;;;;;;;;;;
1993-94;19;Angers19;11/27/1993;Angers;Caen;2;0;Win;3;NA;;;;;;;;;;;;
1993-94;20;Angers20;12/3/1993;Angers;Metz;1;2;Loss;0;NA;;;;;;;;;;;;
1993-94;21;Angers21;12/11/1993;Angers;Lyon;1;1;Draw;1;NA;;;;;;;;;;;;
1993-94;22;Angers22;12/18/1993;Angers;Auxerre;2;2;Draw;1;NA;;;;;;;;;;;;
1993-94;23;Angers23;1/15/1994;Angers;Martigues;0;0;Draw;1;NA;;;;;;;;;;;;
1993-94;24;Angers24;1/29/1994;Angers;Lens;1;2;Loss;0;NA;;;;;;;;;;;;
1993-94;25;Angers25;2/5/1994;Angers;Paris SG;0;3;Loss;0;NA;;;;;;;;;;;;
1993-94;26;Angers26;2/9/1994;Angers;Cannes;1;1;Draw;1;NA;;;;;;;;;;;;
1993-94;27;Angers27;2/19/1994;Angers;Nantes;1;2;Loss;0;NA;;;;;;;;;;;;
1993-94;28;Angers28;2/25/1994;Angers;Monaco;1;1;Draw;1;NA;;;;;;;;;;;;
1993-94;29;Angers29;3/5/1994;Angers;Le Havre;1;2;Loss;0;NA;;;;;;;;;;;;
1993-94;30;Angers30;3/11/1994;Angers;Toulouse;0;0;Draw;1;NA;;;;;;;;;;;;
1993-94;31;Angers31;3/26/1994;Angers;St Etienne;0;2;Loss;0;NA;;;;;;;;;;;;
1993-94;32;Angers32;4/2/1994;Angers;Bordeaux;1;3;Loss;0;NA;;;;;;;;;;;;
1993-94;33;Angers33;4/5/1994;Angers;Marseille;1;2;Loss;0;NA;;;;;;;;;;;;
1993-94;34;Angers34;4/12/1994;Angers;Lille;1;2;Loss;0;NA;;;;;;;;;;;;
1993-94;35;Angers35;4/26/1994;Angers;Strasbourg;2;2;Draw;1;NA;;;;;;;;;;;;
1993-94;36;Angers36;4/30/1994;Angers;Montpellier;2;3;Loss;0;NA;;;;;;;;;;;;
1993-94;37;Angers37;5/7/1994;Angers;Caen;3;2;Win;3;NA;;;;;;;;;;;;
1993-94;38;Angers38;5/21/1994;Angers;Sochaux;1;2;Loss;0;NA;;;;;;;;;;;;
1993-94;1;Auxerre1;7/24/1993;Auxerre;Strasbourg;1;1;Draw;1;NA;;;;;;;;;;;;
1993-94;2;Auxerre2;7/31/1993;Auxerre;Montpellier;3;1;Win;3;NA;;;;;;;;;;;;
1993-94;3;Auxerre3;8/7/1993;Auxerre;Caen;0;1;Loss;0;NA;;;;;;;;;;;;
1993-94;4;Auxerre4;8/11/1993;Auxerre;Angers;0;0;Draw;1;NA;;;;;;;;;;;;
1993-94;5;Auxerre5;8/14/1993;Auxerre;Metz;0;0;Draw;1;NA;;;;;;;;;;;;
1993-94;6;Auxerre6;8/28/1993;Auxerre;Lyon;3;2;Win;3;NA;;;;;;;;;;;;
1993-94;7;Auxerre7;9/1/1993;Auxerre;Sochaux;0;1;Loss;0;NA;;;;;;;;;;;;
1993-94;8;Auxerre8;9/11/1993;Auxerre;Martigues;1;0;Win;3;NA;;;;;;;;;;;;
1993-94;9;Auxerre9;9/18/1993;Auxerre;Lens;1;0;Win;3;NA;;;;;;;;;;;;
1993-94;10;Auxerre10;9/23/1993;Auxerre;Paris SG;0;4;Loss;0;NA;;;;;;;;;;;;
1993-94;11;Auxerre11;10/2/1993;Auxerre;Toulouse;5;1;Win;3;NA;;;;;;;;;;;;
1993-94;12;Auxerre12;10/6/1993;Auxerre;Le Havre;0;1;Loss;0;NA;;;;;;;;;;;;
1993-94;13;Auxerre13;10/16/1993;Auxerre;Monaco;4;0;Win;3;NA;;;;;;;;;;;;
1993-94;14;Auxerre14;10/23/1993;Auxerre;Nantes;2;1;Win;3;NA;;;;;;;;;;;;
1993-94;15;Auxerre15;10/28/1993;Auxerre;Cannes;0;0;Draw;1;NA;;;;;;;;;;;;
1993-94;16;Auxerre16;11/6/1993;Auxerre;St Etienne;0;1;Loss;0;NA;;;;;;;;;;;;
1993-94;17;Auxerre17;11/10/1993;Auxerre;Bordeaux;0;1;Loss;0;NA;;;;;;;;;;;;
1993-94;18;Auxerre18;11/21/1993;Auxerre;Marseille;3;0;Win;3;NA;;;;;;;;;;;;
1993-94;19;Auxerre19;11/27/1993;Auxerre;Lille;5;0;Win;3;NA;;;;;;;;;;;;
1993-94;20;Auxerre20;12/3/1993;Auxerre;Montpellier;0;1;Loss;0;NA;;;;;;;;;;;;
1993-94;21;Auxerre21;12/11/1993;Auxerre;Caen;1;0;Win;3;NA;;;;;;;;;;;;
1993-94;22;Auxerre22;12/18/1993;Auxerre;Angers;2;2;Draw;1;NA;;;;;;;;;;;;
1993-94;23;Auxerre23;1/15/1994;Auxerre;Metz;2;0;Win;3;NA;;;;;;;;;;;;
1993-94;24;Auxerre24;1/29/1994;Auxerre;Lyon;0;1;Loss;0;NA;;;;;;;;;;;;
1993-94;25;Auxerre25;2/5/1994;Auxerre;Sochaux;1;0;Win;3;NA;;;;;;;;;;;;
1993-94;26;Auxerre26;2/9/1994;Auxerre;Martigues;3;0;Win;3;NA;;;;;;;;;;;;
1993-94;27;Auxerre27;2/19/1994;Auxerre;Lens;1;1;Draw;1;NA;;;;;;;;;;;;
1993-94;28;Auxerre28;2/24/1994;Auxerre;Paris SG;0;0;Draw;1;NA;;;;;;;;;;;;
1993-94;29;Auxerre29;3/5/1994;Auxerre;Toulouse;0;0;Draw;1;NA;;;;;;;;;;;;
1993-94;30;Auxerre30;3/11/1994;Auxerre;Le Havre;3;0;Win;3;NA;;;;;;;;;;;;
1993-94;31;Auxerre31;3/25/1994;Auxerre;Monaco;1;0;Win;3;NA;;;;;;;;;;;;
1993-94;32;Auxerre32;4/1/1994;Auxerre;Nantes;3;1;Win;3;NA;;;;;;;;;;;;
1993-94;33;Auxerre33;4/5/1994;Auxerre;Cannes;1;2;Loss;0;NA;;;;;;;;;;;;
1993-94;34;Auxerre34;4/12/1994;Auxerre;St Etienne;3;0;Win;3;NA;;;;;;;;;;;;
1993-94;35;Auxerre35;4/26/1994;Auxerre;Bordeaux;0;2;Loss;0;NA;;;;;;;;;;;;
1993-94;36;Auxerre36;4/30/1994;Auxerre;Marseille;2;2;Draw;1;NA;;;;;;;;;;;;
1993-94;37;Auxerre37;5/7/1994;Auxerre;Lille;1;1;Draw;1;NA;;;;;;;;;;;;
1993-94;38;Auxerre38;5/21/1994;Auxerre;Strasbourg;2;1;Win;3;NA;;;;;;;;;;;;
1993-94;1;Bordeaux1;7/24/1993;Bordeaux;Paris SG;1;0;Win;3;NA;;;;;;;;;;;;
1993-94;2;Bordeaux2;7/31/1993;Bordeaux;Le Havre;3;0;Win;3;NA;;;;;;;;;;;;
1993-94;3;Bordeaux3;8/7/1993;Bordeaux;Cannes;0;0;Draw;1;NA;;;;;;;;;;;;
1993-94;4;Bordeaux4;8/10/1993;Bordeaux;Monaco;2;3;Loss;0;NA;;;;;;;;;;;;
1993-94;5;Bordeaux5;8/14/1993;Bordeaux;Nantes;2;0;Win;3;NA;;;;;;;;;;;;
1993-94;6;Bordeaux6;8/28/1993;Bordeaux;St Etienne;0;0;Draw;1;NA;;;;;;;;;;;;
1993-94;7;Bordeaux7;8/31/1993;Bordeaux;Toulouse;2;0;Win;3;NA;;;;;;;;;;;;
1993-94;8;Bordeaux8;9/11/1993;Bordeaux;Metz;2;0;Win;3;NA;;;;;;;;;;;;
1993-94;9;Bordeaux9;9/18/1993;Bordeaux;Marseille;1;3;Loss;0;NA;;;;;;;;;;;;
1993-94;10;Bordeaux10;9/24/1993;Bordeaux;Lille;2;1;Win;3;NA;;;;;;;;;;;;
1993-94;11;Bordeaux11;10/2/1993;Bordeaux;Strasbourg;2;0;Win;3;NA;;;;;;;;;;;;
1993-94;12;Bordeaux12;10/5/1993;Bordeaux;Montpellier;1;1;Draw;1;NA;;;;;;;;;;;;
1993-94;13;Bordeaux13;10/16/1993;Bordeaux;Caen;0;1;Loss;0;NA;;;;;;;;;;;;
1993-94;14;Bordeaux14;10/23/1993;Bordeaux;Angers;1;0;Win;3;NA;;;;;;;;;;;;
1993-94;15;Bordeaux15;10/29/1993;Bordeaux;Sochaux;2;2;Draw;1;NA;;;;;;;;;;;;
1993-94;16;Bordeaux16;11/6/1993;Bordeaux;Lyon;2;0;Win;3;NA;;;;;;;;;;;;
1993-94;17;Bordeaux17;11/10/1993;Bordeaux;Auxerre;1;0;Win;3;NA;;;;;;;;;;;;
1993-94;18;Bordeaux18;11/21/1993;Bordeaux;Martigues;1;1;Draw;1;NA;;;;;;;;;;;;
1993-94;19;Bordeaux19;11/27/1993;Bordeaux;Lens;0;1;Loss;0;NA;;;;;;;;;;;;
1993-94;20;Bordeaux20;12/3/1993;Bordeaux;Le Havre;2;1;Win;3;NA;;;;;;;;;;;;
1993-94;21;Bordeaux21;12/11/1993;Bordeaux;Cannes;1;2;Loss;0;NA;;;;;;;;;;;;
1993-94;22;Bordeaux22;12/19/1993;Bordeaux;Monaco;1;0;Win;3;NA;;;;;;;;;;;;
1993-94;23;Bordeaux23;1/15/1994;Bordeaux;Nantes;1;4;Loss;0;NA;;;;;;;;;;;;
1993-94;24;Bordeaux24;1/29/1994;Bordeaux;St Etienne;1;2;Loss;0;NA;;;;;;;;;;;;
1993-94;25;Bordeaux25;2/4/1994;Bordeaux;Toulouse;0;0;Draw;1;NA;;;;;;;;;;;;
1993-94;26;Bordeaux26;2/9/1994;Bordeaux;Metz;0;1;Loss;0;NA;;;;;;;;;;;;
1993-94;27;Bordeaux27;2/20/1994;Bordeaux;Marseille;1;0;Win;3;NA;;;;;;;;;;;;
1993-94;28;Bordeaux28;2/25/1994;Bordeaux;Lille;1;1;Draw;1;NA;;;;;;;;;;;;
1993-94;29;Bordeaux29;3/5/1994;Bordeaux;Strasbourg;2;0;Win;3;NA;;;;;;;;;;;;
1993-94;30;Bordeaux30;3/11/1994;Bordeaux;Montpellier;0;1;Loss;0;NA;;;;;;;;;;;;
1993-94;31;Bordeaux31;3/26/1994;Bordeaux;Caen;3;0;Win;3;NA;;;;;;;;;;;;
1993-94;32;Bordeaux32;4/2/1994;Bordeaux;Angers;3;1;Win;3;NA;;;;;;;;;;;;
1993-94;33;Bordeaux33;4/5/1994;Bordeaux;Sochaux;4;1;Win;3;NA;;;;;;;;;;;;
1993-94;34;Bordeaux34;4/12/1994;Bordeaux;Lyon;2;4;Loss;0;NA;;;;;;;;;;;;
1993-94;35;Bordeaux35;4/26/1994;Bordeaux;Auxerre;2;0;Win;3;NA;;;;;;;;;;;;
1993-94;36;Bordeaux36;4/30/1994;Bordeaux;Martigues;0;0;Draw;1;NA;;;;;;;;;;;;
1993-94;37;Bordeaux37;5/7/1994;Bordeaux;Lens;4;2;Win;3;NA;;;;;;;;;;;;
1993-94;38;Bordeaux38;5/21/1994;Bordeaux;Paris SG;1;4;Loss;0;NA;;;;;;;;;;;;
1993-94;1;Caen1;7/24/1993;Caen;Metz;1;1;Draw;1;NA;;;;;;;;;;;;
1993-94;2;Caen2;7/31/1993;Caen;Lyon;0;2;Loss;0;NA;;;;;;;;;;;;
1993-94;3;Caen3;8/7/1993;Caen;Auxerre;1;0;Win;3;NA;;;;;;;;;;;;
1993-94;4;Caen4;8/11/1993;Caen;Martigues;1;4;Loss;0;NA;;;;;;;;;;;;
1993-94;5;Caen5;8/14/1993;Caen;Lens;1;0;Win;3;NA;;;;;;;;;;;;
1993-94;6;Caen6;8/28/1993;Caen;Paris SG;0;2;Loss;0;NA;;;;;;;;;;;;
1993-94;7;Caen7;9/1/1993;Caen;Cannes;1;1;Draw;1;NA;;;;;;;;;;;;
1993-94;8;Caen8;9/10/1993;Caen;Le Havre;2;1;Win;3;NA;;;;;;;;;;;;
1993-94;9;Caen9;9/18/1993;Caen;Toulouse;1;0;Win;3;NA;;;;;;;;;;;;
1993-94;10;Caen10;9/24/1993;Caen;Nantes;0;1;Loss;0;NA;;;;;;;;;;;;
1993-94;11;Caen11;10/2/1993;Caen;Monaco;0;1;Loss;0;NA;;;;;;;;;;;;
1993-94;12;Caen12;10/6/1993;Caen;St Etienne;0;5;Loss;0;NA;;;;;;;;;;;;
1993-94;13;Caen13;10/16/1993;Caen;Bordeaux;1;0;Win;3;NA;;;;;;;;;;;;
1993-94;14;Caen14;10/22/1993;Caen;Strasbourg;0;3;Loss;0;NA;;;;;;;;;;;;
1993-94;15;Caen15;10/29/1993;Caen;Lille;2;3;Loss;0;NA;;;;;;;;;;;;
1993-94;16;Caen16;11/6/1993;Caen;Marseille;0;2;Loss;0;NA;;;;;;;;;;;;
1993-94;17;Caen17;11/10/1993;Caen;Montpellier;0;0;Draw;1;NA;;;;;;;;;;;;
1993-94;18;Caen18;11/21/1993;Caen;Sochaux;2;1;Win;3;NA;;;;;;;;;;;;
1993-94;19;Caen19;11/27/1993;Caen;Angers;0;2;Loss;0;NA;;;;;;;;;;;;
1993-94;20;Caen20;12/3/1993;Caen;Lyon;1;0;Win;3;NA;;;;;;;;;;;;
1993-94;21;Caen21;12/11/1993;Caen;Auxerre;0;1;Loss;0;NA;;;;;;;;;;;;
1993-94;22;Caen22;12/18/1993;Caen;Martigues;4;1;Win;3;NA;;;;;;;;;;;;
1993-94;23;Caen23;1/15/1994;Caen;Lens;0;2;Loss;0;NA;;;;;;;;;;;;
1993-94;24;Caen24;1/29/1994;Caen;Paris SG;0;2;Loss;0;NA;;;;;;;;;;;;
1993-94;25;Caen25;2/5/1994;Caen;Cannes;0;3;Loss;0;NA;;;;;;;;;;;;
1993-94;26;Caen26;2/8/1994;Caen;Le Havre;1;1;Draw;1;NA;;;;;;;;;;;;
1993-94;27;Caen27;2/19/1994;Caen;Toulouse;1;0;Win;3;NA;;;;;;;;;;;;
1993-94;28;Caen28;2/25/1994;Caen;Nantes;0;0;Draw;1;NA;;;;;;;;;;;;
1993-94;29;Caen29;3/5/1994;Caen;Monaco;0;3;Loss;0;NA;;;;;;;;;;;;
1993-94;30;Caen30;3/11/1994;Caen;St Etienne;1;0;Win;3;NA;;;;;;;;;;;;
1993-94;31;Caen31;3/26/1994;Caen;Bordeaux;0;3;Loss;0;NA;;;;;;;;;;;;
1993-94;32;Caen32;4/2/1994;Caen;Strasbourg;3;1;Win;3;NA;;;;;;;;;;;;
1993-94;33;Caen33;4/5/1994;Caen;Lille;1;3;Loss;0;NA;;;;;;;;;;;;
1993-94;34;Caen34;4/12/1994;Caen;Marseille;1;0;Win;3;NA;;;;;;;;;;;;
1993-94;35;Caen35;4/26/1994;Caen;Montpellier;0;0;Draw;1;NA;;;;;;;;;;;;
1993-94;36;Caen36;4/30/1994;Caen;Sochaux;0;0;Draw;1;NA;;;;;;;;;;;;
1993-94;37;Caen37;5/7/1994;Caen;Angers;2;3;Loss;0;NA;;;;;;;;;;;;
1993-94;38;Caen38;5/21/1994;Caen;Metz;1;2;Loss;0;NA;;;;;;;;;;;;
1993-94;1;Cannes1;7/24/1993;Cannes;St Etienne;2;1;Win;3;NA;;;;;;;;;;;;
1993-94;2;Cannes2;8/1/1993;Cannes;Marseille;2;1;Win;3;NA;;;;;;;;;;;;
1993-94;3;Cannes3;8/7/1993;Cannes;Bordeaux;0;0;Draw;1;NA;;;;;;;;;;;;
1993-94;4;Cannes4;8/11/1993;Cannes;Lille;2;1;Win;3;NA;;;;;;;;;;;;
1993-94;5;Cannes5;8/14/1993;Cannes;Strasbourg;2;2;Draw;1;NA;;;;;;;;;;;;
1993-94;6;Cannes6;8/28/1993;Cannes;Sochaux;1;1;Draw;1;NA;;;;;;;;;;;;
1993-94;7;Cannes7;9/1/1993;Cannes;Caen;1;1;Draw;1;NA;;;;;;;;;;;;
1993-94;8;Cannes8;9/11/1993;Cannes;Angers;4;3;Win;3;NA;;;;;;;;;;;;
1993-94;9;Cannes9;9/18/1993;Cannes;Montpellier;1;2;Loss;0;NA;;;;;;;;;;;;
1993-94;10;Cannes10;9/24/1993;Cannes;Lyon;1;0;Win;3;NA;;;;;;;;;;;;
1993-94;11;Cannes11;10/2/1993;Cannes;Metz;0;0;Draw;1;NA;;;;;;;;;;;;
1993-94;12;Cannes12;10/6/1993;Cannes;Martigues;2;1;Win;3;NA;;;;;;;;;;;;
1993-94;13;Cannes13;10/16/1993;Cannes;Lens;1;2;Loss;0;NA;;;;;;;;;;;;
1993-94;14;Cannes14;10/23/1993;Cannes;Paris SG;0;1;Loss;0;NA;;;;;;;;;;;;
1993-94;15;Cannes15;10/28/1993;Cannes;Auxerre;0;0;Draw;1;NA;;;;;;;;;;;;
1993-94;16;Cannes16;11/6/1993;Cannes;Le Havre;1;3;Loss;0;NA;;;;;;;;;;;;
1993-94;17;Cannes17;11/10/1993;Cannes;Monaco;0;2;Loss;0;NA;;;;;;;;;;;;
1993-94;18;Cannes18;11/21/1993;Cannes;Nantes;0;0;Draw;1;NA;;;;;;;;;;;;
1993-94;19;Cannes19;11/27/1993;Cannes;Toulouse;2;1;Win;3;NA;;;;;;;;;;;;
1993-94;20;Cannes20;12/3/1993;Cannes;Marseille;1;3;Loss;0;NA;;;;;;;;;;;;
1993-94;21;Cannes21;12/11/1993;Cannes;Bordeaux;2;1;Win;3;NA;;;;;;;;;;;;
1993-94;22;Cannes22;12/18/1993;Cannes;Lille;0;1;Loss;0;NA;;;;;;;;;;;;
1993-94;23;Cannes23;1/15/1994;Cannes;Strasbourg;1;1;Draw;1;NA;;;;;;;;;;;;
1993-94;24;Cannes24;1/29/1994;Cannes;Sochaux;1;1;Draw;1;NA;;;;;;;;;;;;
1993-94;25;Cannes25;2/5/1994;Cannes;Caen;3;0;Win;3;NA;;;;;;;;;;;;
1993-94;26;Cannes26;2/9/1994;Cannes;Angers;1;1;Draw;1;NA;;;;;;;;;;;;
1993-94;27;Cannes27;2/19/1994;Cannes;Montpellier;2;0;Win;3;NA;;;;;;;;;;;;
1993-94;28;Cannes28;2/25/1994;Cannes;Lyon;2;2;Draw;1;NA;;;;;;;;;;;;
1993-94;29;Cannes29;3/5/1994;Cannes;Metz;2;0;Win;3;NA;;;;;;;;;;;;
1993-94;30;Cannes30;3/11/1994;Cannes;Martigues;0;4;Loss;0;NA;;;;;;;;;;;;
1993-94;31;Cannes31;3/26/1994;Cannes;Lens;3;1;Win;3;NA;;;;;;;;;;;;
1993-94;32;Cannes32;4/2/1994;Cannes;Paris SG;1;2;Loss;0;NA;;;;;;;;;;;;
1993-94;33;Cannes33;4/5/1994;Cannes;Auxerre;2;1;Win;3;NA;;;;;;;;;;;;
1993-94;34;Cannes34;4/12/1994;Cannes;Le Havre;1;0;Win;3;NA;;;;;;;;;;;;
1993-94;35;Cannes35;4/22/1994;Cannes;Monaco;0;2;Loss;0;NA;;;;;;;;;;;;
1993-94;36;Cannes36;4/29/1994;Cannes;Nantes;4;0;Win;3;NA;;;;;;;;;;;;
1993-94;37;Cannes37;5/7/1994;Cannes;Toulouse;2;1;Win;3;NA;;;;;;;;;;;;
1993-94;38;Cannes38;5/21/1994;Cannes;St Etienne;0;0;Draw;1;NA;;;;;;;;;;;;
1993-94;1;Le Havre1;7/24/1993;Le Havre;Toulouse;0;0;Draw;1;NA;;;;;;;;;;;;
1993-94;2;Le Havre2;7/31/1993;Le Havre;Bordeaux;0;3;Loss;0;NA;;;;;;;;;;;;
1993-94;3;Le Havre3;8/7/1993;Le Havre;Marseille;1;1;Draw;1;NA;;;;;;;;;;;;
1993-94;4;Le Havre4;8/11/1993;Le Havre;St Etienne;0;0;Draw;1;NA;;;;;;;;;;;;
1993-94;5;Le Havre5;8/14/1993;Le Havre;Lille;2;2;Draw;1;NA;;;;;;;;;;;;
1993-94;6;Le Havre6;8/28/1993;Le Havre;Strasbourg;0;1;Loss;0;NA;;;;;;;;;;;;
1993-94;7;Le Havre7;9/1/1993;Le Havre;Montpellier;1;2;Loss;0;NA;;;;;;;;;;;;
1993-94;8;Le Havre8;9/10/1993;Le Havre;Caen;1;2;Loss;0;NA;;;;;;;;;;;;
1993-94;9;Le Havre9;9/18/1993;Le Havre;Metz;0;2;Loss;0;NA;;;;;;;;;;;;
1993-94;10;Le Havre10;9/24/1993;Le Havre;Sochaux;0;0;Draw;1;NA;;;;;;;;;;;;
1993-94;11;Le Havre11;10/2/1993;Le Havre;Angers;0;0;Draw;1;NA;;;;;;;;;;;;
1993-94;12;Le Havre12;10/6/1993;Le Havre;Auxerre;1;0;Win;3;NA;;;;;;;;;;;;
1993-94;13;Le Havre13;10/16/1993;Le Havre;Lyon;1;1;Draw;1;NA;;;;;;;;;;;;
1993-94;14;Le Havre14;10/23/1993;Le Havre;Lens;1;1;Draw;1;NA;;;;;;;;;;;;
1993-94;15;Le Havre15;10/29/1993;Le Havre;Martigues;0;3;Loss;0;NA;;;;;;;;;;;;
1993-94;16;Le Havre16;11/6/1993;Le Havre;Cannes;3;1;Win;3;NA;;;;;;;;;;;;
1993-94;17;Le Havre17;11/10/1993;Le Havre;Paris SG;0;0;Draw;1;NA;;;;;;;;;;;;
1993-94;18;Le Havre18;11/21/1993;Le Havre;Monaco;1;1;Draw;1;NA;;;;;;;;;;;;
1993-94;19;Le Havre19;11/27/1993;Le Havre;Nantes;0;0;Draw;1;NA;;;;;;;;;;;;
1993-94;20;Le Havre20;12/3/1993;Le Havre;Bordeaux;1;2;Loss;0;NA;;;;;;;;;;;;
1993-94;21;Le Havre21;12/11/1993;Le Havre;Marseille;1;3;Loss;0;NA;;;;;;;;;;;;
1993-94;22;Le Havre22;12/18/1993;Le Havre;St Etienne;0;0;Draw;1;NA;;;;;;;;;;;;
1993-94;23;Le Havre23;1/15/1994;Le Havre;Lille;1;0;Win;3;NA;;;;;;;;;;;;
1993-94;24;Le Havre24;1/29/1994;Le Havre;Strasbourg;3;0;Win;3;NA;;;;;;;;;;;;
1993-94;25;Le Havre25;2/5/1994;Le Havre;Montpellier;0;0;Draw;1;NA;;;;;;;;;;;;
1993-94;26;Le Havre26;2/8/1994;Le Havre;Caen;1;1;Draw;1;NA;;;;;;;;;;;;
1993-94;27;Le Havre27;2/19/1994;Le Havre;Metz;0;1;Loss;0;NA;;;;;;;;;;;;
1993-94;28;Le Havre28;2/25/1994;Le Havre;Sochaux;2;4;Loss;0;NA;;;;;;;;;;;;
1993-94;29;Le Havre29;3/5/1994;Le Havre;Angers;2;1;Win;3;NA;;;;;;;;;;;;
1993-94;30;Le Havre30;3/11/1994;Le Havre;Auxerre;0;3;Loss;0;NA;;;;;;;;;;;;
1993-94;31;Le Havre31;3/26/1994;Le Havre;Lyon;0;1;Loss;0;NA;;;;;;;;;;;;
1993-94;32;Le Havre32;4/2/1994;Le Havre;Lens;1;5;Loss;0;NA;;;;;;;;;;;;
1993-94;33;Le Havre33;4/5/1994;Le Havre;Martigues;2;0;Win;3;NA;;;;;;;;;;;;
1993-94;34;Le Havre34;4/12/1994;Le Havre;Cannes;0;1;Loss;0;NA;;;;;;;;;;;;
1993-94;35;Le Havre35;4/26/1994;Le Havre;Paris SG;0;2;Loss;0;NA;;;;;;;;;;;;
1993-94;36;Le Havre36;4/30/1994;Le Havre;Monaco;1;0;Win;3;NA;;;;;;;;;;;;
1993-94;37;Le Havre37;5/7/1994;Le Havre;Nantes;1;3;Loss;0;NA;;;;;;;;;;;;
1993-94;38;Le Havre38;5/21/1994;Le Havre;Toulouse;1;1;Draw;1;NA;;;;;;;;;;;;
1993-94;1;Lens1;7/24/1993;Lens;Marseille;0;1;Loss;0;NA;;;;;;;;;;;;
1993-94;2;Lens2;7/31/1993;Lens;Strasbourg;0;0;Draw;1;NA;;;;;;;;;;;;
1993-94;3;Lens3;8/6/1993;Lens;Lille;0;0;Draw;1;NA;;;;;;;;;;;;
1993-94;4;Lens4;8/11/1993;Lens;Montpellier;2;1;Win;3;NA;;;;;;;;;;;;
1993-94;5;Lens5;8/14/1993;Lens;Caen;0;1;Loss;0;NA;;;;;;;;;;;;
1993-94;6;Lens6;8/28/1993;Lens;Angers;0;1;Loss;0;NA;;;;;;;;;;;;
1993-94;7;Lens7;9/1/1993;Lens;Metz;1;2;Loss;0;NA;;;;;;;;;;;;
1993-94;8;Lens8;9/11/1993;Lens;Lyon;2;0;Win;3;NA;;;;;;;;;;;;
1993-94;9;Lens9;9/18/1993;Lens;Auxerre;0;1;Loss;0;NA;;;;;;;;;;;;
1993-94;10;Lens10;9/24/1993;Lens;Martigues;1;1;Draw;1;NA;;;;;;;;;;;;
1993-94;11;Lens11;10/2/1993;Lens;Sochaux;1;1;Draw;1;NA;;;;;;;;;;;;
1993-94;12;Lens12;10/6/1993;Lens;Paris SG;0;1;Loss;0;NA;;;;;;;;;;;;
1993-94;13;Lens13;10/16/1993;Lens;Cannes;2;1;Win;3;NA;;;;;;;;;;;;
1993-94;14;Lens14;10/23/1993;Lens;Le Havre;1;1;Draw;1;NA;;;;;;;;;;;;
1993-94;15;Lens15;10/29/1993;Lens;Monaco;3;3;Draw;1;NA;;;;;;;;;;;;
1993-94;16;Lens16;11/7/1993;Lens;Toulouse;1;1;Draw;1;NA;;;;;;;;;;;;
1993-94;17;Lens17;11/10/1993;Lens;Nantes;1;1;Draw;1;NA;;;;;;;;;;;;
1993-94;18;Lens18;11/21/1993;Lens;St Etienne;0;0;Draw;1;NA;;;;;;;;;;;;
1993-94;19;Lens19;11/27/1993;Lens;Bordeaux;1;0;Win;3;NA;;;;;;;;;;;;
1993-94;20;Lens20;12/3/1993;Lens;Strasbourg;0;2;Loss;0;NA;;;;;;;;;;;;
1993-94;21;Lens21;12/10/1993;Lens;Lille;1;1;Draw;1;NA;;;;;;;;;;;;
1993-94;22;Lens22;12/18/1993;Lens;Montpellier;0;0;Draw;1;NA;;;;;;;;;;;;
